iter	Passed	Remaining
455	871	1039
456	872	1037
457	876	1036
458	877	1034
459	879	1031
460	880	1029
461	881	1026
462	883	1024
463	884	1021
464	886	1019
465	887	1016
466	888	1014
467	892	1014
468	893	1011
469	894	1009
470	896	1006
471	897	1004
472	899	1001
473	900	999
474	902	996
475	903	994
476	906	994
477	908	991
478	909	989
479	910	986
480	912	984
481	913	982
482	915	979
483	916	977
484	918	974
485	920	973
486	921	970
487	923	968
488	924	966
489	926	963
490	927	961
491	928	959
492	930	956
493	931	954
494	932	951
495	936	951
496	937	949
497	939	946
498	940	944
499	941	941
500	943	939
501	944	937
502	946	935
503	948	932
504	951	932
505	952	930
506	954	928
507	956	926
508	957	923
509	959	922
510	961	920
511	962	917
512	965	917
513	967	914
514	968	912
515	970	909
516	971	907
517	972	905
518	974	903
519	975	900
520	977	898
521	978	896
522	981	895
523	983	893
524	984	890
525	986	888
526	987	886
527	989	884
528	990	881
529	991	879
530	993	877
531	996	876
532	997	874
533	999	872
534	1000	869
535	1002	867
536	1003	865
537	1004	863
538	1006	860
539	1007	858
540	1009	856
541	1011	854
542	1012	852
543	1013	849
544	1015	847
545	1016	845
546	1017	843
547	1019	840
548	1020	838
549	1030	842
550	1035	843
551	1086	882
552	1094	884
553	1097	883
554	1100	882
555	1119	893
556	1125	894
557	1128	893
558	1130	891
559	1133	890
560	1137	889
561	1157	901
562	1159	899
563	1161	897
564	1164	896
565	1168	895
566	1170	893
567	1172	891
568	1175	890
569	1177	888
570	1179	885
571	1183	885
572	1186	883
573	1192	884
574	1195	883
575	1224	901
576	1227	899
577	1233	900
578	1238	900
579	1240	898
580	1242	895
581	1244	893
582	1247	892
583	1249	890
584	1254	889
585	1256	887
586	1258	885
587	1291	904
588	1294	902
589	1296	900
590	1298	898
591	1303	898
592	1305	896
593	1307	893
594	1310	891
595	1340	908
596	1342	906
597	1344	904
598	1346	901
599	1361	907
600	1385	919
601	1387	917
602	1389	914
603	1391	912
604	1393	910
605	1398	909
606	1401	907
607	1403	905
608	1415	909
609	1420	908
610	1423	906
611	1442	914
612	1444	912
613	1447	909
614	1449	907
615	1455	907
616	1457	904
617	1461	903
618	1463	900
619	1468	900
620	1475	900
621	1477	897
622	1483	897
623	1491	898
624	1506	904
625	1510	902
626	1514	901
627	1518	899
628	1520	896
629	1522	894
630	1526	892
631	1530	890
632	1532	888
633	1535	886
634	1537	883
635	1539	881
636	1541	878
637	1546	877
638	1549	875
639	1552	873
640	1553	870
641	1555	867
642	1556	864
643	1560	862
644	1562	859
645	1564	857
646	1565	854
647	1567	851
648	1570	849
649	1571	846
650	1575	844
651	1577	841
652	1578	838
653	1581	836
654	1583	834
655	1585	831
656	1590	830
657	1592	827
658	1596	826
659	1599	823
660	1606	823
661	1611	822
662	1613	820
663	1615	817
664	1622	817
665	1624	814
666	1626	812
667	1631	810
668	1633	808
669	1637	806
670	1639	803
671	1650	805
672	1652	802
673	1655	800
674	1662	800
675	1665	798
676	1667	795
677	1669	793
678	1671	790
679	1675	788
680	1677	785
681	1681	784
682	1684	781
683	1686	779
684	1688	776
685	1691	774
686	1696	773
687	1701	771
688	1710	771
689	1717	771
690	1720	769
691	1725	768
692	1728	765
693	1731	763
694	1733	760
695	1736	758
696	1738	755
697	1741	753
698	1744	750
699	1746	748
700	1751	747
701	1753	744
702	1757	742
703	1758	739
704	1760	736
705	1762	734
706	1766	732
707	1769	729
708	1771	727
709	1774	724
710	1775	721
711	1777	719
712	1780	716
713	1785	715
714	1788	712
715	1791	710
716	1793	708
717	1795	705
718	1800	703
719	1802	700
720	1804	698
721	1806	695
722	1807	692
723	1809	689
724	1811	687
725	1812	684
726	1815	681
727	1817	679
728	1818	676
729	1820	673
730	1822	670
731	1823	667
732	1825	664
733	1827	662
734	1828	659
735	1830	656
736	1832	653
737	1834	651
738	1835	648
739	1837	645
740	1839	643
741	1843	640
742	1844	638
743	1846	635
744	1848	632
745	1852	630
746	1854	628
747	1858	625
748	1859	623
749	1861	620
750	1863	617
751	1864	615
752	1866	612
753	1868	609
754	1870	606
755	1873	604
756	1874	601
757	1875	598
758	1877	596
759	1878	593
760	1880	590
761	1881	587
762	1882	584
763	1883	581
764	1885	579
765	1888	576
766	1890	574
767	1891	571
768	1893	568
769	1894	565
770	1895	563
771	1897	560
772	1898	557
773	1899	554
774	1903	552
775	1904	549
776	1906	547
777	1907	544
778	1908	541
779	1910	538
780	1911	535
781	1912	533
782	1913	530
783	1915	527
784	1917	525
785	1919	522
786	1920	519
787	1921	516
788	1922	514
789	1924	511
790	1925	508
791	1926	505
792	1927	503
793	1929	500
794	1930	497
795	1933	495
796	1935	492
797	1936	490
798	1938	487
799	1939	484
800	1941	482
801	1942	479
802	1944	476
803	1945	474
804	1948	472
805	1950	469
806	1951	466
807	1952	464
808	1954	461
809	1956	458
810	1957	456
811	1958	453
812	1959	450
813	1961	448
814	1964	445
815	1965	443
816	1966	440
817	1968	437
818	1969	435
819	1970	432
820	1972	429
821	1973	427
822	1974	424
823	1975	422
824	1978	419
825	1979	417
826	1981	414
827	1982	411
828	1984	409
829	1986	406
830	1988	404
831	1989	401
832	1991	399
833	1994	396
834	1995	394
835	1997	391
836	1998	389
837	1999	386
838	2001	384
839	2002	381
840	2004	379
841	2006	376
842	2010	374
843	2011	371
844	2013	369
845	2015	366
846	2016	364
847	2018	361
848	2020	359
849	2022	356
850	2024	354
851	2025	351
852	2027	349
853	2028	346
854	2030	344
855	2031	341
856	2033	339
857	2034	336
858	2036	334
859	2038	331
860	2040	329
861	2041	326
862	2042	324
863	2044	321
864	2045	319
865	2046	316
866	2047	314
867	2049	311
868	2050	309
869	2053	306
870	2054	304
871	2055	301
872	2057	299
873	2058	296
874	2059	294
875	2061	291
876	2062	289
877	2063	286
878	2065	284
879	2066	281
880	2068	279
881	2069	276
882	2071	274
883	2072	271
884	2073	269
885	2074	266
886	2076	264
887	2077	262
888	2078	259
889	2080	257
890	2083	254
891	2084	252
892	2085	249
893	2086	247
894	2088	245
895	2089	242
896	2091	240
897	2092	237
898	2093	235
899	2094	232
900	2097	230
901	2098	228
902	2100	225
903	2101	223
904	2102	220
905	2103	218
906	2105	215
907	2106	213
908	2107	211
909	2109	208
910	2111	206
911	2112	203
912	2114	201
913	2115	199
914	2117	196
915	2118	194
916	2121	191
917	2122	189
918	2123	187
919	2124	184
920	2127	182
921	2129	180
922	2130	177
923	2131	175
924	2132	172
925	2134	170
926	2135	168
927	2137	165
928	2138	163
929	2139	161
930	2142	158
931	2143	156
932	2145	154
933	2146	151
934	2148	149
935	2149	146
936	2151	144
937	2153	142
938	2154	139
939	2155	137
940	2158	135
941	2159	132
942	2160	130
943	2162	128
944	2163	125
945	2164	123
946	2165	121
947	2167	118
948	2169	116
949	2172	114
950	2173	111
951	2174	109
952	2176	107
953	2177	104
954	2178	102
955	2179	100
956	2181	98
957	2182	95
958	2183	93
959	2185	91
960	2187	88
961	2189	86
962	2190	84
963	2191	81
964	2192	79
965	2194	77
966	2195	74
967	2196	72
968	2198	70
969	2199	68
970	2202	65
971	2204	63
972	2205	61
973	2206	58
974	2208	56
975	2209	54
976	2211	52
977	2212	49
978	2214	47
979	2215	45
980	2217	42
981	2219	40
982	2220	38
983	2221	36
984	2222	33
985	2224	31
986	2225	29
987	2226	27
988	2227	24
989	2229	22
990	2231	20
991	2233	18
992	2234	15
993	2235	13
994	2236	11
995	2238	8
996	2239	6
997	2240	4
998	2242	2
999	2243	0
